goodreads_book_id,title,genres,authors,average_rating
359,"The Salmon of Doubt (Dirk Gently, #3)","['science-fiction', 'fantasy', 'non-fiction', 'comedy', 'humor', 'science', 'mystery', 'biography', 'anthology', 'adventure', 'philosophy', 'speculative-fiction', 'adult-fiction', 'religion']",['Douglas Adams'],[3.92]
360,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)","['science-fiction', 'humor', 'fantasy', 'comedy', 'adventure', 'science', 'speculative-fiction', 'adult-fiction', 'classic', 'young-adult']",['Douglas Adams'],[3.96]
365,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),"['science-fiction', 'fantasy', 'humor', 'mystery', 'comedy', 'crime', 'science', 'speculative-fiction', 'urban-fantasy', 'adventure', 'adult-fiction', 'travel', 'contemporary', 'paranormal']",['Douglas Adams'],[3.97]
378,The Phantom Tollbooth,"['fantasy', 'young-adult', 'children', 'classic', 'adventure', 'humor', 'science-fiction', 'young-adult-fiction', 'comedy']","['Norton Juster, Jules Feiffer']",[4.22]
386,Another Bullshit Night in Suck City,"['memoir', 'non-fiction', 'biography', 'poetry', 'family', 'contemporary', 'humor', 'comedy']",['Nick Flynn'],[3.77]
400,Libra,"['historical-fiction', 'politics', 'contemporary', 'literary-fiction', 'historical', 'crime', 'conspiracy', 'thriller', 'non-fiction', 'biography']",['Don DeLillo'],[3.98]
415,Gravity's Rainbow,"['science-fiction', 'historical-fiction', 'war', 'literary-fiction', 'contemporary', 'historical', 'science', 'fantasy', 'humor', 'philosophy']",['Thomas Pynchon'],[4.03]
424,Slouching Towards Bethlehem,"['non-fiction', 'memoir', 'politics', 'biography', 'classic', 'sociology', 'contemporary', 'travel', 'philosophy']",['Joan Didion'],[4.24]
428,Play It as It Lays,"['contemporary', 'literary-fiction', 'adult-fiction', 'classic', 'historical-fiction', 'non-fiction', 'memoir']","['Joan Didion, David Thomson']",[3.86]
431,The New York Trilogy,"['mystery', 'contemporary', 'crime', 'literary-fiction', 'thriller', 'adult-fiction', 'magical-realism', 'classic']","['Paul Auster, Art Spiegelman']",[3.92]
432,"City of Glass (The New York Trilogy, #1)","['mystery', 'contemporary', 'crime', 'literary-fiction', 'classic', 'philosophy', 'thriller', 'adult-fiction', 'graphic-novel', 'crime-thriller']",['Paul Auster'],[3.81]
446,The Brooklyn Follies,"['contemporary', 'literary-fiction', 'family', 'drama', 'adult-fiction', 'humor', 'romance']",['Paul Auster'],[3.81]
447,Moon Palace,"['literary-fiction', 'drama', 'adult-fiction', 'romance']",['Paul Auster'],[3.99]
449,Timbuktu,"['contemporary', 'literary-fiction', 'adult-fiction', 'drama', 'philosophy', 'adventure']",['Paul Auster'],[3.66]
456,Leviathan,"['contemporary', 'literary-fiction', 'mystery', 'crime', 'thriller', 'drama', 'adult-fiction', 'philosophy', 'romance']",['Paul Auster'],[3.95]
475,Collapse: How Societies Choose to Fail or Succeed,"['non-fiction', 'science', 'politics', 'sociology', 'historical', 'economics', 'business', 'philosophy', 'psychology']",['Jared Diamond'],[3.92]
597,Killing Yourself to Live: 85% of a True Story,"['non-fiction', 'memoir', 'humor', 'travel', 'biography', 'contemporary', 'comedy', 'sociology']",['Chuck Klosterman'],[3.85]
599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","['non-fiction', 'humor', 'memoir', 'sociology', 'comedy', 'contemporary', 'philosophy', 'biography', 'sports', 'psychology', 'science']",['Chuck Klosterman'],[3.75]
621,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,"['non-fiction', 'business', 'self-help', 'economics', 'psychology']",['David Bach'],[3.9]
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,"['philosophy', 'non-fiction', 'spirituality', 'travel', 'psychology', 'memoir', 'religion', 'self-help', 'classic', 'biography', 'contemporary', 'adventure', 'business', 'family', 'literary-fiction']",['Robert M. Pirsig'],[3.76]
647,No Logo,"['non-fiction', 'politics', 'economics', 'sociology', 'business', 'philosophy', 'contemporary', 'science', 'psychology']",['Naomi Klein'],[3.86]
656,War and Peace,"['historical-fiction', 'classic', 'war', 'historical', 'classic-literature', 'romance', 'philosophy', 'literary-fiction', 'epic', 'drama', 'adult-fiction', 'politics']","['Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude']",[4.11]
662,Atlas Shrugged,"['philosophy', 'classic', 'politics', 'science-fiction', 'dystopian', 'economics', 'business', 'literary-fiction', 'classic-literature', 'adult-fiction', 'contemporary', 'fantasy', 'romance', 'drama', 'mystery', 'non-fiction', 'historical-fiction', 'science']","['Ayn Rand, Leonard Peikoff']",[3.68]
665,The Virtue of Selfishness: A New Concept of Egoism,"['philosophy', 'non-fiction', 'politics', 'psychology', 'contemporary', 'economics', 'self-help', 'sociology', 'business']","['Ayn Rand, Nathaniel Branden']",[3.47]
667,Anthem,"['philosophy', 'dystopian', 'science-fiction', 'classic', 'politics', 'fantasy', 'classic-literature', 'young-adult', 'adult-fiction', 'speculative-fiction', 'literary-fiction', 'romance', 'contemporary']",['Ayn Rand'],[3.62]
668,We the Living,"['philosophy', 'historical-fiction', 'classic', 'politics', 'historical', 'dystopian', 'science-fiction', 'literary-fiction', 'non-fiction', 'adult-fiction', 'romance', 'contemporary', 'drama', 'classic-literature', 'war', 'economics']","['Ayn Rand, Leonard Peikoff']",[3.89]
676,Sailing Alone Around the Room: New and Selected Poems,"['poetry', 'non-fiction', 'contemporary', 'humor', 'anthology']",['Billy Collins'],[4.24]
698,Digging to America,"['contemporary', 'family', 'adult-fiction', 'literary-fiction', 'drama', 'historical-fiction']",['Anne Tyler'],[3.53]
703,The Plot Against America,"['historical-fiction', 'science-fiction', 'alternative-history', 'literary-fiction', 'war', 'politics', 'historical', 'contemporary', 'dystopian', 'fantasy', 'adult-fiction', 'speculative-fiction', 'non-fiction', 'drama']",['Philip Roth'],[3.71]
706,America (The Book): A Citizen's Guide to Democracy Inaction,"['humor', 'non-fiction', 'politics', 'comedy', 'historical', 'historical-fiction', 'sociology', 'biography']","['Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms']",[4.02]
760,Memories of My Melancholy Whores,"['romance', 'magical-realism', 'literary-fiction', 'contemporary', 'adult-fiction', 'classic', 'drama', 'historical-fiction']","['Gabriel García Márquez, Edith Grossman']",[3.59]
771,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","['science', 'philosophy', 'non-fiction']",['Brian Greene'],[4.06]
816,Cryptonomicon,"['science-fiction', 'historical-fiction', 'cyberpunk', 'thriller', 'historical', 'war', 'science', 'fantasy', 'adventure', 'speculative-fiction', 'contemporary', 'mystery']",['Neal Stephenson'],[4.25]
822,"The Confusion (The Baroque Cycle, #2)","['historical-fiction', 'science-fiction', 'fantasy', 'historical', 'adventure', 'science', 'speculative-fiction', 'action', 'steampunk', 'economics', 'cyberpunk', 'epic', 'philosophy']",['Neal Stephenson'],[4.24]
823,"Quicksilver (The Baroque Cycle, #1)","['historical-fiction', 'science-fiction', 'fantasy', 'historical', 'science', 'speculative-fiction', 'adventure', 'steampunk', 'philosophy', 'cyberpunk', 'action', 'thriller', 'epic', 'alternative-history']",['Neal Stephenson'],[3.92]
825,Zodiac,"['science-fiction', 'thriller', 'mystery', 'cyberpunk', 'science', 'fantasy', 'suspense', 'adventure', 'contemporary', 'crime', 'humor', 'action', 'politics', 'speculative-fiction', 'horror', 'adult-fiction', 'comedy', 'dystopian', 'conspiracy']",['Neal Stephenson'],[3.7]
827,"The Diamond Age: or, A Young Lady's Illustrated Primer","['science-fiction', 'cyberpunk', 'steampunk', 'fantasy', 'speculative-fiction', 'science', 'dystopian', 'adventure', 'children']",['Neal Stephenson'],[4.19]
830,Snow Crash,"['science-fiction', 'cyberpunk', 'fantasy', 'dystopian', 'speculative-fiction', 'science', 'thriller', 'adventure', 'humor', 'mystery', 'religion', 'adult-fiction', 'contemporary', 'classic', 'mythology']",['Neal Stephenson'],[4.02]
840,The Design of Everyday Things,"['non-fiction', 'business', 'psychology', 'science', 'philosophy']",['Donald A. Norman'],[4.18]
865,The Alchemist,"['fantasy', 'philosophy', 'spirituality', 'adventure', 'classic', 'contemporary', 'self-help', 'magical-realism', 'adult-fiction', 'historical-fiction', 'religion', 'literary-fiction', 'travel', 'young-adult', 'drama', 'non-fiction', 'romance']","['Paulo Coelho, Alan R. Clarke']",[3.82]
870,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)","['manga', 'graphic-novel', 'science-fiction', 'young-adult', 'adventure', 'action', 'fantasy', 'comedy', 'mystery', 'romance', 'military', 'epic']","['Hiromu Arakawa, Akira Watanabe']",[4.49]
880,Pompeii,"['historical-fiction', 'historical', 'thriller', 'mystery', 'adventure', 'suspense', 'non-fiction', 'adult-fiction', 'drama', 'crime', 'travel']",['Robert   Harris'],[3.79]
890,Of Mice and Men,"['classic', 'historical-fiction', 'classic-literature', 'historical', 'adult-fiction', 'young-adult', 'literary-fiction', 'drama']",['John Steinbeck'],[3.84]
900,The Game: Penetrating the Secret Society of Pickup Artists,"['non-fiction', 'psychology', 'biography', 'self-help', 'memoir', 'sociology', 'romance', 'family', 'humor', 'contemporary', 'philosophy', 'business']",['Neil Strauss'],[3.73]
902,The Westing Game,"['mystery', 'young-adult', 'children', 'classic', 'suspense', 'young-adult-fiction', 'adventure', 'contemporary', 'thriller', 'humor', 'fantasy']",['Ellen Raskin'],[4.03]
903,"The Egypt Game (Game, #1)","['young-adult', 'mystery', 'children', 'fantasy', 'adventure', 'historical-fiction', 'mythology', 'young-adult-fiction', 'classic', 'contemporary']",['Zilpha Keatley Snyder'],[3.81]
930,Memoirs of a Geisha,"['historical-fiction', 'romance', 'historical', 'contemporary', 'adult-fiction', 'drama', 'memoir', 'literary-fiction', 'classic', 'biography', 'non-fiction', 'historical-romance', 'war']",['Arthur Golden'],[4.08]
952,The Five Love Languages of Children,"['non-fiction', 'children', 'self-help', 'psychology', 'family', 'religion']","['Gary Chapman, D. Ross Campbell']",[4.21]
960,"Angels & Demons  (Robert Langdon, #1)","['mystery', 'thriller', 'suspense', 'adventure', 'historical-fiction', 'crime', 'contemporary', 'adult-fiction', 'religion', 'fantasy', 'action', 'historical', 'conspiracy', 'suspense-thriller', 'crime-thriller', 'drama', 'science-fiction', 'romance']",['Dan Brown'],[3.85]
968,"The Da Vinci Code (Robert Langdon, #2)","['thriller', 'suspense', 'historical-fiction', 'adventure', 'contemporary', 'adult-fiction', 'religion', 'fantasy', 'historical', 'action', 'conspiracy', 'suspense-thriller', 'drama', 'mystery', 'romance', 'science-fiction']",['Dan Brown'],[3.79]
976,Deception Point,"['thriller', 'mystery', 'suspense', 'adventure', 'crime', 'science-fiction', 'action', 'contemporary', 'adult-fiction', 'conspiracy', 'suspense-thriller', 'crime-thriller', 'drama', 'fantasy', 'science', 'romance', 'historical-fiction', 'politics']",['Dan Brown'],[3.67]
998,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,"['non-fiction', 'business', 'self-help', 'economics', 'psychology', 'sociology', 'philosophy', 'science']","['Thomas J. Stanley, William D. Danko']",[4.0]
1005,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,"['self-help', 'business', 'non-fiction', 'economics', 'spirituality']",['Napoleon Hill'],[4.17]
1032,Trump: The Art of the Deal,"['business', 'non-fiction', 'biography', 'politics', 'self-help', 'memoir', 'economics', 'psychology', 'philosophy']","['Donald J. Trump, Tony Schwartz']",[3.66]
1052,The Richest Man in Babylon,"['business', 'non-fiction', 'self-help', 'economics', 'philosophy', 'psychology', 'classic', 'historical-fiction']",['George S. Clason'],[4.23]
1067,1776,"['non-fiction', 'historical', 'war', 'military', 'biography', 'historical-fiction', 'politics']",['David McCullough'],[4.06]
1078,"The Good Earth (House of Earth, #1)","['adult-fiction', 'classic-literature', 'family', 'drama', 'young-adult']",['Pearl S. Buck'],[3.97]
1097,Fast Food Nation: The Dark Side of the All-American Meal,"['non-fiction', 'health', 'sociology', 'politics', 'science', 'economics', 'business', 'psychology', 'contemporary']",['Eric Schlosser'],[3.73]
1103,Snow Flower and the Secret Fan,"['historical-fiction', 'historical', 'adult-fiction', 'literary-fiction', 'contemporary', 'drama', 'romance', 'family', 'young-adult']",['Lisa See'],[4.05]
1110,The Broker,"['thriller', 'mystery', 'legal-thriller', 'suspense', 'crime', 'adult-fiction', 'drama', 'contemporary', 'horror', 'crime-thriller', 'suspense-thriller', 'adventure', 'action', 'politics', 'political-thriller']",['John Grisham'],[3.77]
1171,Liar's Poker,"['business', 'non-fiction', 'economics', 'biography', 'memoir', 'politics', 'humor']",['Michael   Lewis'],[4.16]
1191,Giada's Family Dinners,"['cookbook', 'non-fiction', 'family']","['Giada De Laurentiis, Victoria Pearson']",[3.99]
1192,Everyday Italian: 125 Simple and Delicious Recipes,"['cookbook', 'non-fiction']",['Giada De Laurentiis'],[3.97]
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","['science', 'non-fiction', 'psychology', 'sociology', 'economics', 'politics', 'business', 'philosophy', 'self-help', 'humor', 'contemporary']","['Steven D. Levitt, Stephen J. Dubner']",[3.93]
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","['historical-fiction', 'mystery', 'fantasy', 'historical', 'gothic', 'magical-realism', 'romance', 'thriller', 'contemporary', 'suspense', 'literary-fiction', 'adult-fiction', 'drama', 'crime', 'adventure']","['Carlos Ruiz Zafón, Lucia Graves']",[4.24]
1241,A Million Little Pieces,"['non-fiction', 'biography', 'memoir', 'contemporary', 'psychology', 'adult-fiction', 'drama']",['James Frey'],[3.62]
1274,"Men Are from Mars, Women Are from Venus","['non-fiction', 'self-help', 'psychology', 'romance', 'philosophy', 'sociology', 'family', 'health', 'contemporary']",['John Gray'],[3.52]
1295,"The Clan of the Cave Bear (Earth's Children, #1)","['historical-fiction', 'romance', 'adventure', 'historical', 'adult-fiction', 'fantasy', 'classic', 'science-fiction', 'young-adult', 'epic', 'contemporary', 'speculative-fiction']",['Jean M. Auel'],[4.02]
1301,Moneyball: The Art of Winning an Unfair Game,"['non-fiction', 'sports', 'business', 'biography', 'economics', 'science', 'psychology', 'memoir', 'sociology', 'contemporary', 'historical']",['Michael   Lewis'],[4.24]
1303,The 48 Laws of Power,"['non-fiction', 'business', 'psychology', 'philosophy', 'self-help', 'politics', 'historical', 'war', 'economics', 'biography', 'sociology', 'science']","['Robert Greene, Joost Elffers']",[4.18]
1305,Gates of Fire: An Epic Novel of the Battle of Thermopylae,"['historical-fiction', 'historical', 'military', 'war', 'fantasy', 'non-fiction', 'adventure', 'epic', 'action', 'classic', 'philosophy']",['Steven Pressfield'],[4.4]
1307,"Fire Sea (The Death Gate Cycle, #3)","['fantasy', 'science-fiction', 'epic', 'adventure', 'adult-fiction']","['Margaret Weis, Tracy Hickman']",[4.05]
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,"['self-help', 'business', 'non-fiction', 'psychology', 'philosophy', 'spirituality']","['Steven Pressfield, Robert McKee']",[4.07]
1362,The Histories,"['non-fiction', 'classic', 'historical', 'mythology', 'philosophy', 'war', 'classic-literature', 'travel', 'historical-fiction', 'politics']","['Herodotus, Aubrey de Sélincourt, John M. Marincola']",[3.97]
1371,The Iliad,"['poetry', 'classic', 'mythology', 'fantasy', 'historical-fiction', 'epic', 'war', 'historical', 'classic-literature', 'adventure', 'philosophy', 'non-fiction', 'adult-fiction', 'drama']","['Homer, Robert Fagles, Frédéric Mugler, Bernard Knox']",[3.83]
1375,The Iliad/The Odyssey,"['poetry', 'classic', 'mythology', 'fantasy', 'historical-fiction', 'adventure', 'epic', 'historical', 'classic-literature', 'war', 'philosophy', 'non-fiction', 'drama', 'romance', 'adult-fiction', 'religion']","['Homer, Robert Fagles, Bernard Knox']",[4.03]
1381,The Odyssey,"['poetry', 'classic', 'mythology', 'fantasy', 'adventure', 'epic', 'classic-literature', 'historical-fiction', 'historical', 'adult-fiction', 'philosophy', 'non-fiction', 'war', 'drama', 'literary-fiction', 'travel']","['Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox']",[3.73]
1420,Hamlet,"['drama', 'classic', 'poetry', 'classic-literature', 'historical-fiction', 'historical', 'adult-fiction', 'romance', 'fantasy']","['William Shakespeare, Richard Andrews, Rex Gibson']",[4.0]
1426,Warrior of the Light,"['philosophy', 'spirituality', 'self-help', 'contemporary', 'religion', 'fantasy', 'non-fiction', 'magical-realism', 'adult-fiction', 'psychology']",['Paulo Coelho'],[3.69]
1427,The Zahir,"['philosophy', 'spirituality', 'romance', 'contemporary', 'drama', 'fantasy', 'adult-fiction', 'literary-fiction', 'travel', 'religion', 'magical-realism', 'mystery', 'adventure', 'self-help']","['Paulo Coelho, Margaret Jull Costa']",[3.56]
1428,By the River Piedra I Sat Down and Wept,"['romance', 'philosophy', 'spirituality', 'contemporary', 'religion', 'adult-fiction', 'drama', 'magical-realism', 'literary-fiction', 'self-help', 'fantasy', 'adventure']","['Paulo Coelho, Alan R. Clarke']",[3.57]
1430,Eleven Minutes,"['romance', 'contemporary', 'philosophy', 'spirituality', 'drama', 'adult-fiction', 'literary-fiction']","['Paulo Coelho, Margaret Jull Costa']",[3.69]
1431,Veronika Decides to Die,"['psychology', 'romance', 'drama', 'adult-fiction', 'literary-fiction', 'self-help', 'young-adult', 'mystery', 'classic', 'magical-realism']","['Paulo Coelho, Margaret Jull Costa']",[3.69]
1519,"The Oresteia  (Ορέστεια, #1-3)","['drama', 'mythology', 'poetry', 'classic', 'classic-literature', 'philosophy', 'fantasy', 'historical', 'historical-fiction']","['Aeschylus, Robert Fagles, William Bedell Stanford']",[3.99]
1524,"Agamemnon (Oresteia, #1)","['drama', 'mythology', 'classic', 'poetry', 'historical-fiction', 'fantasy', 'historical', 'classic-literature', 'philosophy']","['Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison']",[3.82]
